テキスト,ラベル
はいえっとautomotive検証サービス開発部の井上といい,1
形で、あのパワースライドドア,1
略してpsdというものについて説明させていただきます,1
でこちらがアジェンダになってましてまず,0
二章のところでパワースライドドアというのは、一般的にどういう,1
ものかっていうのを説明したあと、まあ参照であの後で出て来ます,1
けど、トヨタのアルファードというシステムをベースにして、まあ,0
、システムの機能はどういう機能があるのか、その機能がどういう,0
ハードウェア構成一周構成とかで構築されているのかっていうとこ,1
ろを説明して行きます,1
で、最後にあのソフトウェア、実際のじゃあパワースライドドアの,0
ecの中はどうなっているのか？というソフトウェア構成を説明し,1
たいと思うあります,0
でまあ、あのシステム機能とかシステム構成というのはあの修理書,0
ですねまあ、そちらをベースに構築しておりまして、まあそこから,0
出てくるあのソフトウェアはこういう構造しているだろうという部,1
分はまあ、私があの車載システムのあのサプライヤ,1
ーで設計経験を持ってますんで、まあ、そういった,1
部分の知識をベースとしてこうなっているであろう,1
というものを、推測のもとに資料化しております,0
でまあ参照で、あのまずパワースライドドアがある車種について説,0
明したあと、四勝15章ではまず四章で発生,1
他社システム例としてまあ高級車であるアルファードとまあ、トヨ,1
タの中でも廉価版大衆車であるルーミーというものの構成を比較し,1
ておりますその後、トヨタ、タイ、日産、ホンダ、スズキという形で、,0
まあどういう違いがあるのか？,1
という部分を比較することをしております,0
で一方、五章ではまあ関連システムと書いてあるんですけど、同じ,0
アルファードの中でパワースライドドアとよく似ている機能システ,1
ムとしてパワーバックドアとか、まあ同じみのスライディング、ル,1
ーフパワーウィンドウすべてこうユーザーが操作すると空いたり閉,1
まったりするという共通点がありますんで、まああのパワースライ,1
ドドアの類似システムとして、どういうあの昨日の違いがあるのか,1
とかっていう部分をまとめたい,0
説明したいと思いますで、まあ四章五章をとうして参照で説明した,1
内容がまあ、あのより俯瞰的に他者もここらへんは一緒なんだけど,1
、だいたいこういうところは一緒なんだけど、この辺だけ違うこと,1
があるんだねとかパワースライドドアを深く理解すると、まあパワ,1
ーバックドアとかスライディングルーフパワウィンドウみたいなも,1
のは、ある程度簡単にあの理解できそうだなあっていう,0
まあ、そういう間食を持っていただくことが目的になってます,1
でまずあの説明を始めますけど、最初のところでですね,0
まあ本研修のねらいという形で、まあどうしてこういうシステム車,1
載システム研修っていうものをやったかっていうのを説明しており,1
ますでそれ最初のところにまあ現状の課題として、まあ、あのこれ,1
は一般論で、まあ、参加されている皆さんがこうだって言ってるわ,1
けではないんですけど、まあ現在の各分室業務では顧客要求に基づ,0
いてシステムの一部をテストするような業務が主流で、まあこの車,1
を貸すから、このシステムについて網羅的にテストしてね、何てい,0
う業務ではなくて、まあキャンの部分のテストをしてねとかってい,1
う、まあ部分的なテストっていうのが主流です,1
でまあ、担当者の対象システムに対する知識経験もまああんまりな,0
いケースが多いまあ、あの自動車業界でずっと仕事しました,1
みたいな人よりもまあさ業界でやられてたかった新人の方とかって,0
いう形で、まあ、そういう車載システムっていうものに,0
対する知識経験が少ないケースが多いですね,0
でまあ、そうなってくるとシステム全体を俯瞰するようなまあ、視,0
点が持てないもんですから、どうしてもお客さんから言われたこの,1
こういうテストをしてねっていう部分を忠実に,1
あるだけであのアウトプットとしてはまあお客さんからは忠実にや,1
れば、あのそれなりの満足度が得られますけど、お客さんが予想も,0
していなかったような、あの高い満足度を得るみたいなことは難し,0
いのかなと思います,1
で今回の研修でまあどういうことを目指しているかと言いますと、,0
まああの今回のパワースライドドア,1
受講いただければわかりますけど、システムが提供する機能とか、,1
それを実現するための手段として、まあセンサーによるセンシング,1
とかチューターによる駆動でほかのシステムとの通信など,0
っていうのをこう包括的にまあ、昨日からブレークダウンして行きますで、,0
まあ、自分が対応する業務において、まあ末端の業務かも,1
しれないですけど、その上流にはこういう考え方とか関連している,0
こういうシステムがいるとかっていうまあ、あの部分をより包括的,1
に理解して、今やっていることの重要性みたいなものも,0
あのえー、軽量化できるようになるんじゃないかなと思ってます,1
まあ、こういう研修をして、あのより深くシステムの背景を理解す,1
ることによって、まあ、お客さんがこういうことをやってねってい,1
うところに、対してお客さんとしてはこういうバックグラウンドの,1
中からこういう要求出してるんだ,1
本当はこういうことをやりたいけど、まあこれここまで出来ればオ,1
ッケーかっていう線引きとか、そういう背景と海外っていうのをよ,1
